"Timestamp","Unix Timestamp","DeviceID","Firmware","PD1 Peak value","Ammonia level","Room temperature","Probe laser temperature","Pump laser current","Probe laser current","testVolt","tosa1310pd","tosa1530pd","rosa1530pd","currentFb1530","currentFb1310","addonBMETemp","addonBMEHumidity","addonBMEPressure","addonCO2","addonNTCTemp"
"2025-06-13T00:38:47.227Z",1749775127.227736,"HVAMMONIA03","null","null",0.05508272998000438,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:40:54.944Z",1749775254.9443693,"HVAMMONIA03","null","null",0.05228395594284338,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:41:14.000Z",1749775274,"HVAMMONIA03","v1.20250314",0,0.05368334296142388,49.2033,"null",0.1086,"null",-4.784473155078072,-0.0007647276836309056,-0.0010913611759377929,-0.013911129702464307,-0.06151915329923073,-0.061471469577726076,29.638539393083192,35.41579328528059,1016.0042799820638,768,5.0143
"2025-06-13T00:43:34.065Z",1749775414.0651362,"HVAMMONIA03","null","null",0.4066327796530788,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:45:36.643Z",1749775536.6435652,"HVAMMONIA03","null","null",0.4510355957123139,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:45:55.000Z",1749775555,"HVAMMONIA03","v1.20250314",0,0.4288341876826963,49.237,"null",0.1083,"null",-4.784622762754293,-0.000743866055472619,-0.0010943414085318338,-0.014066101797354435,-0.06151974934574954,-0.061471469577726076,29.653730815422023,35.347253992188676,1016.0841057480852,768,5.0144
"2025-06-13T00:48:14.863Z",1749775694.8634224,"HVAMMONIA03","null","null",0.8115662302281494,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:50:17.487Z",1749775817.487558,"HVAMMONIA03","null","null",1.0358666367039626,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:50:38.000Z",1749775838,"HVAMMONIA03","v1.20250314",0,0.923716433466056,49.2688,"null",0.1085,"null",-4.784780119035259,-0.0007575751254052073,-0.0010925532689754092,-0.013865830167034885,-0.06152034539226835,-0.06147087353120727,29.64360320023843,35.34736688603448,1015.9853248521343,768,5.0154
"2025-06-13T00:52:57.781Z",1749775977.7814038,"HVAMMONIA03","null","null",1.3607188259608345,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:55:03.737Z",1749776103.737836,"HVAMMONIA03","null","null",1.4105139641750808,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"2025-06-13T00:55:24.000Z",1749776124,"HVAMMONIA03","v1.20250314",0,1.3856163950679576,49.2545,"null",0.1089,"null",-4.784498785078381,-0.0007653237301497137,-0.0010937453620130256,-0.013998152494210303,-0.06152332562486239,-0.06147027748468846,29.64360320023843,35.39294752793387,1015.9579868521441,768,5.0137
"2025-06-13T00:57:44.144Z",1749776264.1448226,"HVAMMONIA03","null","null",1.8400704640148602,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
