time;timeStamp;rawPd1;rawPd2;rosa1530pd;ntc_1530;ntc_1310;opCode;cur_1530;cur_1310;metadata;app_session_counter;device_config;rec_ntc_1310;rec_ntc_1530;Split times
-7,8021327018824564;1745366985,023227;-0,418937852256042;-0,4213774706575239;-0,0137281434211901;34,973228514963274;24,224094748729527;0.1201586028835079;0,0236;0,088;"{""operator_name"": ""Diana"", ""run_description"": ""Testing app"", ""analyte"": ""AmmoniaDirect"", ""ammonia_ppm"": -1, ""hardware_ver"": 2.4, ""sw"": ""v1.20241115-312-g79e3c78-dirty""}";558,0;{'config_data': {'firmware_version': 'v1.20250314', 'current_device_id': 'HVAMMONIA03', 'time_on_pump': 10, 'tec_temp_1530_min': 35, 'tec_temp_1530_max': 49, 'tec_temp_1310_min': 25, 'tec_temp_1310_max': 26, 'N_sweeps_1530_initially': 3, 'N_sweeps_1530': 2, 'app_idle_time_seconds': 60, 'sleep_time_seconds': 1, 'target_Kp_1310': 1, 'target_Ti_1310': 0.9, 'target_Td_1310': 0.09, 'target_Kp_1530': 1.4, 'target_Td_1530': 3.85, 'target_Ti_1530': 0.2, 'enable_thread_1310': True, 'peltier_max_current_1310': 0.55, 'peltier_max_current_1530': 0.5, 'offset_1530_start': 50, 'offset_1530_max': 240, 'offset_1310_start': 40, 'laserAmplitude': 840, 'laserAmp': [1000], 'pump_laser_ramp_slope': 1, 'heater_cycles': 3}, 'changes': {'operator': 'Arun', 'Ammonia_application': 'direct ammonia from AH', 'ppm': -1, 'change': [{'Software': 'sweeping thourhg different pump laser power'}], 'Description': None}};24,224094748729527;33,722563281567986;0.0
-7,699473061068214;1745366985,119191;-0,41967190038261415;-0,4214330640082864;-0,013731921610076908;34,973228514963274;24,224094748729527;1.1288859149715207;0,0236;0,088;;558,0;;24,224094748729527;34,88321430101132;10.779262285495498
-7,596813420253971;1745366985,2218506;-0,41977232618738325;-0,4214363261440928;-0,013702375549375641;34,9744439734985;24,26236282966443;3.668569256951501;0,023608699994769652;0,088;;558,0;;24,26236282966443;34,296513904177296;13.551072587480057
-7,494153779439729;1745366985,3245103;-0,41977883254802933;-0,42142088904021174;-0,013669972057930375;34,97793293909301;24,372211099991546;7.909025361230065;0,02363367327155683;0,088;;558,0;;24,372211099991546;34,73943430013176;65.29153155785845
-7,391494138625485;1745366985,42717;-0,4198236461526986;-0,4214239094761384;-0,013621163105277985;34,98142190468751;24,482059370318662;349.932336022546;0,023658646548344004;0,088;;558,0;;24,482059370318662;34,501088776381295;120.52241831592113
-7,2888344978112425;1745366985,5298295;-0,41983592585474194;-0,42142822531816804;-0,013612011598270708;34,98491087028201;24,59190764064578;354.4739114543697;0,02368361982513118;0,088;;558,0;;24,59190764064578;34,68632926556586;176.266603278055
-7,186174856997;1745366985,6324892;-0,4198117131329439;-0,4214164915587885;-0,01363026973961459;34,98825985832465;24,699041082336812;411.4868237277767;0,0237;0,088;;558,0;;24,699041082336812;34,59458559238522;231.49749003611765
-7,083515216182757;1745366985,735149;-0,4198169599572864;-0,42142861387134;-0,013670638550171808;34,991342021092926;24,800999516420536;466.8694643279812;0,0237;0,088;;558,0;;24,800999516420536;34,67548352729547;287.036355716623
-6,980855575368514;1745366985,8378086;-0,41983554504997495;-0,42146519091395773;-0,013731705990657934;34,994424183861206;24,90295795050426;466.86951463430137;0,0237;0,088;;558,0;;24,90295795050426;34,64323042626695;347.91352271946903
-6,878195934554271;1745366985,940468;-0,41982352234185566;-0,4214848983754734;-0,01378372054962747;34,99750634662948;25,004916384587982;468.9995121261379;0,0237;0,088;;558,0;;25,004916384587982;34,681064704188145;404.88962337137383
-6,7755362937400285;1745366986,0431278;-0,41983262311536146;-0,42149632309365925;-0,013809610706308276;35,000460070797956;25,10439084208458;525.0803019305965;0,023692083608448287;0,088;;558,0;;25,10439084208458;34,672485142015546;462.2763625865356
-6,672876652925785;1745366986,1457875;-0,41984216043279193;-0,4214868882879182;-0,013798645651090007;35,00314082387859;25,19858609385809;580.5006932517788;0,02366734247716163;0,088;;558,0;;25,19858609385809;34,69220412332252;518.5338457527405
-6,570217012111542;1745366986,2484472;-0,4198253599254161;-0,42148434275649765;-0,013806282245351752;35,00582157695923;25,292781345631596;580.5007268687984;0,02364260134587497;0,088;;558,0;;25,292781345631596;34,69274992416307;572.4301571802181
-6,4675573712973;1745366986,3511066;-0,4198397187179835;-0,42151124187399003;-0,013805317178917295;35,00850233003987;25,386976597405106;;0,023617860214588313;0,088;;558,0;;25,386976597405106;34,70459734483022;
-6,364897730483057;1745366986,4537663;-0,4198225559188598;-0,42148176748472616;-0,01380877201797373;35,01108006058483;25,479321165382355;;0,02360693331602728;0,0879930666839727;;558,0;;25,479321165382355;34,70841137857676;
-6,262238089668815;1745366986,556426;-0,41983075875566933;-0,4215052988383165;-0,013801644925413109;35,013390384231094;25,566862069664;;0,023631862855157462;0,08796813714484254;;558,0;;25,566862069664;34,716629341029964;
-6,159578448854571;1745366986,6590855;-0,41983787415669815;-0,42149820391166554;-0,014655983014548554;35,01570070787736;25,654402973945647;;0,02365679239428764;0,08794320760571236;;558,0;;25,654402973945647;34,7213818182886;
-6,0569188080403285;1745366986,7617452;-0,4197265629674839;-0,5372646073467144;-0,020566985072770504;35,01801103152362;25,741943878227296;;0,023681721933417818;0,08791827806658219;;558,0;;25,741943878227296;34,72774955412201;
-5,954259167226086;1745366986,864405;-0,41948371951105284;-0,7063931405030032;-0,027280172192386456;35,02022099048026;25,8276815286104;;0,02370670234125571;0,08784638126995432;;558,0;;25,8276815286104;34,73253399701993;
