date,timeStamp,rawPd1,rawPd2,rosa1530pd,ntc_1530,ntc_1310,opCode,cur_1530,cur_1310,metadata,app_session_counter,device_config,intpl_ntc_1530,intpl_ntc_1310,intpl_rawPd1,intpl_rawPd2,timestamp
2025-03-26 06:36:56.014976025+01:00,2025-03-26 05:36:56.014976025,-0.3586996029257301,-0.1364034576896974,-0.0495982229230669,,,,0.0921,0.0703,,,,45.92507,24.13066,-0.359,-0.136,2025-03-26 05:36:56.014976025
2025-03-26 06:36:56.025275946+01:00,2025-03-26 05:36:56.025275946,,,,45.9529,,,0.0921,0.0703,,,,45.9529,24.13348,-0.361,-0.127,2025-03-26 05:36:56.025275946
2025-03-26 06:36:56.035523415+01:00,2025-03-26 05:36:56.035523415,-0.3631270364674373,-0.1181876800284004,-0.0495123922243585,,,,0.0921,0.0703,,,,45.9529,24.13629,-0.363,-0.118,2025-03-26 05:36:56.035523415
2025-03-26 06:36:56.055819035+01:00,2025-03-26 05:36:56.055819035,-0.3640157418269803,-0.1159858841879229,-0.0490903912890423,,,,0.0921,0.0703,,,,45.9529,24.14186,-0.364,-0.116,2025-03-26 05:36:56.055819035
2025-03-26 06:36:56.085114002+01:00,2025-03-26 05:36:56.085114002,-0.3639293150817531,-0.1084607968879696,-0.0492781459424669,,,,0.0921,0.0703,,,,45.9529,24.1499,-0.364,-0.108,2025-03-26 05:36:56.085114002
2025-03-26 06:36:56.120596647+01:00,2025-03-26 05:36:56.120596647,-0.3603440952711219,-0.1064437754683226,-0.0492197333836237,,,,0.0921,0.0703,,,,45.9529,24.15963,-0.36,-0.106,2025-03-26 05:36:56.120596647
2025-03-26 06:36:56.148563385+01:00,2025-03-26 05:36:56.148563385,,,,45.9529,24.1673,,0.0987,0.069,,,,45.9529,24.1673,-0.357,-0.106,2025-03-26 05:36:56.148563385
2025-03-26 06:36:56.153871059+01:00,2025-03-26 05:36:56.153871059,-0.3566176124355331,-0.1063734419791033,-0.0491720496621191,,,,0.0987,0.069,,,,46.04904,24.16896,-0.357,-0.106,2025-03-26 05:36:56.153871059
2025-03-26 06:36:56.155055761+01:00,2025-03-26 05:36:56.155055761,,,,46.0705,,,0.0987,0.069,,,,46.0705,24.16933,-0.356,-0.107,2025-03-26 05:36:56.155055761
2025-03-26 06:36:56.174021482+01:00,2025-03-26 05:36:56.174021482,-0.3545368140383737,-0.1167267700108015,-0.0489449559384531,,,,0.0987,0.069,,,,46.08911,24.17524,-0.355,-0.117,2025-03-26 05:36:56.174021482
2025-03-26 06:36:56.194238901+01:00,2025-03-26 05:36:56.194238901,-0.3533095542561476,-0.1177281281623993,-0.0492894708263243,,,,0.0987,0.069,,,,46.10894,24.18155,-0.353,-0.118,2025-03-26 05:36:56.194238901
2025-03-26 06:36:56.214467287+01:00,2025-03-26 05:36:56.214467287,-0.3527975502964914,-0.1175564667649825,-0.0495898782718036,,,,0.0987,0.069,,,,46.12879,24.18787,-0.353,-0.118,2025-03-26 05:36:56.214467287
2025-03-26 06:36:56.234658003+01:00,2025-03-26 05:36:56.234658003,-0.3524005833149651,-0.1175040146713274,-0.0486326275625977,,,,0.0987,0.069,,,,46.1486,24.19417,-0.352,-0.118,2025-03-26 05:36:56.234658003
2025-03-26 06:36:56.254872321+01:00,2025-03-26 05:36:56.254872321,-0.3514343919079771,-0.1195013665558536,-0.0502806961871023,,,,0.0987,0.069,,,,46.16843,24.20048,-0.351,-0.12,2025-03-26 05:36:56.254872321
2025-03-26 06:36:56.268397092+01:00,2025-03-26 05:36:56.268397092,,,,46.1817,,,0.0987,0.069,,,,46.1817,24.2047,-0.35,-0.115,2025-03-26 05:36:56.268397092
2025-03-26 06:36:56.280211210+01:00,2025-03-26 05:36:56.280211210,-0.3481322941937797,-0.1109153164524217,-0.0485944805853939,,,,0.0987,0.069,,,,46.19278,24.20838,-0.348,-0.111,2025-03-26 05:36:56.280211210
2025-03-26 06:36:56.300443888+01:00,2025-03-26 05:36:56.300443888,-0.3438860587937902,-0.1198953533047858,-0.0509631694511377,,,,0.0987,0.069,,,,46.21176,24.2147,-0.344,-0.12,2025-03-26 05:36:56.300443888
2025-03-26 06:36:56.320806026+01:00,2025-03-26 05:36:56.320806026,-0.3394872354849857,-0.1175707718814339,-0.0491905271042021,,,,0.0987,0.069,,,,46.23087,24.22105,-0.339,-0.118,2025-03-26 05:36:56.320806026
2025-03-26 06:36:56.341003418+01:00,2025-03-26 05:36:56.341003418,-0.3358143968360897,-0.1179957530493441,-0.0513780178282282,,,,0.0987,0.069,,,,46.24981,24.22736,-0.336,-0.118,2025-03-26 05:36:56.341003418
2025-03-26 06:36:56.361225128+01:00,2025-03-26 05:36:56.361225128,-0.3337032000664711,-0.1177978656050998,-0.049647694784128,,,,0.0987,0.069,,,,46.26878,24.23367,-0.334,-0.118,2025-03-26 05:36:56.361225128
2025-03-26 06:36:56.385945082+01:00,2025-03-26 05:36:56.385945082,-0.3332072893628227,-0.1124280825171569,-0.0508618415429403,,,,0.0987,0.069,,,,46.29197,24.24138,-0.333,-0.112,2025-03-26 05:36:56.385945082
2025-03-26 06:36:56.393328428+01:00,2025-03-26 05:36:56.393328428,,,,46.2989,,,0.0987,0.069,,,,46.2989,24.24369,-0.334,-0.12,2025-03-26 05:36:56.393328428
2025-03-26 06:36:56.409710407+01:00,2025-03-26 05:36:56.409710407,-0.3350603979897973,-0.1375270053776509,-0.0509518445672803,,,,0.0987,0.069,,,,46.2989,24.2488,-0.335,-0.138,2025-03-26 05:36:56.409710407
2025-03-26 06:36:56.434708118+01:00,2025-03-26 05:36:56.434708118,-0.3364903135884182,-0.1190883063183196,-0.0517624678328594,,,,0.0987,0.069,,,,46.2989,24.2566,-0.336,-0.119,2025-03-26 05:36:56.434708118
2025-03-26 06:36:56.470503092+01:00,2025-03-26 05:36:56.470503092,-0.3446752243846922,-0.1331442753248543,-0.0514447750383347,,,,0.0987,0.069,,,,46.2989,24.26777,-0.345,-0.133,2025-03-26 05:36:56.470503092
2025-03-26 06:36:56.472201824+01:00,2025-03-26 05:36:56.472201824,,,,46.2989,24.2683,,0.0939,0.0678,,,,46.2989,24.2683,-0.345,-0.132,2025-03-26 05:36:56.472201824
2025-03-26 06:36:56.491248369+01:00,2025-03-26 05:36:56.491248369,-0.3460449392849135,-0.1208615447117739,-0.0518703522527637,,,,0.0939,0.0678,,,,46.36485,24.27543,-0.346,-0.121,2025-03-26 05:36:56.491248369
2025-03-26 06:36:56.508358954+01:00,2025-03-26 05:36:56.508358954,,,,46.4241,,,0.0939,0.0678,,,,46.4241,24.28183,-0.346,-0.129,2025-03-26 05:36:56.508358954
2025-03-26 06:36:56.520897387+01:00,2025-03-26 05:36:56.520897387,-0.3454852516037525,-0.1347345274370345,-0.0514227213171388,,,,0.0939,0.0678,,,,46.43736,24.28652,-0.345,-0.135,2025-03-26 05:36:56.520897387
2025-03-26 06:36:56.541623116+01:00,2025-03-26 05:36:56.541623116,-0.3452051097399127,-0.1215177919289817,-0.0514447750383347,,,,0.0939,0.0678,,,,46.45929,24.29427,-0.345,-0.122,2025-03-26 05:36:56.541623116
2025-03-26 06:36:56.562678576+01:00,2025-03-26 05:36:56.562678576,-0.3465897258031041,-0.1373893186318062,-0.0511807264305027,,,,0.0939,0.0678,,,,46.48156,24.30215,-0.347,-0.137,2025-03-26 05:36:56.562678576
2025-03-26 06:36:56.582978964+01:00,2025-03-26 05:36:56.582978964,-0.3474718746509402,-0.1166510721029129,-0.0513285459671671,,,,0.0939,0.0678,,,,46.50304,24.30975,-0.347,-0.117,2025-03-26 05:36:56.582978964
2025-03-26 06:36:56.603255510+01:00,2025-03-26 05:36:56.603255510,-0.3504348218959358,-0.1168191572212168,-0.0502687752567261,,,,0.0939,0.0678,,,,46.52448,24.31733,-0.35,-0.117,2025-03-26 05:36:56.603255510
2025-03-26 06:36:56.629005671+01:00,2025-03-26 05:36:56.629005671,-0.3565234370855614,-0.1091545950358623,-0.0511992038725857,,,,0.0939,0.0678,,,,46.55172,24.32697,-0.357,-0.109,2025-03-26 05:36:56.629005671
2025-03-26 06:36:56.632575750+01:00,2025-03-26 05:36:56.632575750,,,,46.5555,,,0.0939,0.0678,,,,46.5555,24.3283,-0.359,-0.11,2025-03-26 05:36:56.632575750
