time;pd1;pd2;temp
1745366300,184953;-0,4189479850468617;-0,421457936937563;24,209916261998853
1745366300,2814584;-0,41967781759611256;-0,42147727025012593;24,209916261998853
1745366300,3838842;-0,41980785113956387;-0,4215141307968996;24,283537413904636
1745366300,4863098;-0,41980590633514564;-0,42150894418022705;24,403796603524725
1745366300,5887356;-0,4198056612310336;-0,42151193239378393;24,524055793144818
1745366300,6911612;-0,4198099811164148;-0,4214936833641839;24,643798922520023
1745366300,793587;-0,4198137939871215;-0,42145957447676285;24,748411656239007
1745366300,8960128;-0,41982355073182576;-0,4214403659390134;24,85302438995799
1745366300,9984384;-0,41983049601738415;-0,42145050176210874;24,95763712367697
1745366301,1008642;-0,41983435272380104;-0,4214853170396175;25,061890715719997
1745366301,20329;-0,41984052466243676;-0,42150077219423676;25,16460071619882
1745366301,3057156;-0,4198271536621038;-0,42147887317158006;25,267310716677642
1745366301,4081414;-0,4198276784601047;-0,4215045213168875;25,370020717156464
1745366301,5105672;-0,4198366390632023;-0,421516282108453;25,463592791034685
1745366301,6129928;-0,4198456431546632;-0,4214978844531232;25,549646230016485
1745366301,7154186;-0,419851940790711;-0,4214962038246185;25,635699668998285
1745366301,8178444;-0,4198304707860704;-0,4214852778190777;25,721753107980085
1745366301,92027;-0,4196913245485825;-0,572770451481238;25,804080919719528
1745366302,0226958;-0,4194673193070276;-0,7191137024810693;25,883137501155765
1745366302,1251216;-0,41933407947893947;-0,7881509727420171;25,962194082592006
1745366302,2275472;-0,4193093595248001;-0,8100100568384009;26,041250664028244
1745366302,329973;-0,4193047327301045;-0,814943857387956;26,116466586422604
1745366302,4323986;-0,41931166027438704;-0,8173740309550582;26,18811684273513
1745366302,5348244;-0,41931310803873695;-0,8203671680046121;26,259767099047657
1745366302,6372502;-0,41930562968301477;-0,823725616378917;26,331417355360184
1745366302,7396758;-0,4193124174298247;-0,8239903385045045;26,399860814431882
1745366302,8421016;-0,41931803833440917;-0,8243698474516186;26,464890893426617
1745366302,9445274;-0,4193147099461168;-0,8246482690888415;26,529920972421355
1745366303,046953;-0,4193081727847559;-0,8262029314355667;26,59495105141609
1745366303,1493788;-0,4193155681656267;-0,8287759887437794;26,656739941220703
1745366303,2518046;-0,41931945821553435;-0,831209250843138;26,714937383158475
1745366303,3542302;-0,4193114890987478;-0,8328610308332989;26,77313482509625
1745366303,456656;-0,4193073741090199;-0,8333361841343047;26,83133226703402
1745366303,5590818;-0,4193163417954852;-0,832919244698421;26,88579754424745
1745366303,6615074;-0,4193099301025707;-0,8334765407814061;26,93621021865498
1745366303,7639332;-0,41928507610417604;-0,8339804385172936;26,986622893062517
1745366303,866359;-0,419324263246361;-0,8341001471845163;27,03703556747005
1745366303,9687846;-0,41931579990022555;-0,8340850192671972;27,084724600603103
1745366304,0712104;-0,41932864686112276;-0,834853564122002;27,12878058952403
1745366304,173636;-0,41930781513517257;-0,8355246505789711;27,172836578444958
1745366304,2760618;-0,4193033564201745;-0,835911401004807;27,216892567365882
1745366304,3784876;-0,4193058631233365;-0,8360741844198937;27,261236267041713
1745366304,4809132;-0,4192991337511639;-0,8360355006937931;27,30595388039799
1745366304,583339;-0,4192896395706843;-0,8357314823551241;27,350671493754266
